Entidad federativa,Municipio,clave,Localidades/Población,Total de localidades y población1,clave_geo
01 Aguascalientes,001 Aguascalientes,01_001,Población,948990,01001
01 Aguascalientes,002 Asientos,01_002,Población,51536,01002
01 Aguascalientes,003 Calvillo,01_003,Población,58250,01003
01 Aguascalientes,004 Cosío,01_004,Población,17000,01004
01 Aguascalientes,005 Jesús María,01_005,Población,129929,01005
01 Aguascalientes,006 Pabellón de Arteaga,01_006,Población,47646,01006
01 Aguascalientes,007 Rincón de Romos,01_007,Población,57369,01007
01 Aguascalientes,008 San José de Gracia,01_008,Población,9552,01008
01 Aguascalientes,009 Tepezalá,01_009,Población,22485,01009
01 Aguascalientes,010 El Llano,01_010,Población,20853,01010
01 Aguascalientes,011 San Francisco de los Romo,01_011,Población,61997,01011
02 Baja California,001 Ensenada,02_001,Población,561375,02001
02 Baja California,002 Mexicali,02_002,Población,1049792,02002
02 Baja California,003 Tecate,02_003,Población,108440,02003
02 Baja California,004 Tijuana,02_004,Población,1922523,02004
02 Baja California,005 Playas de Rosarito,02_005,Población,126890,02005
03 Baja California Sur,001 Comondú,03_001,Población,73021,03001
03 Baja California Sur,002 Mulegé,03_002,Población,64022,03002
03 Baja California Sur,003 La Paz,03_003,Población,292241,03003
03 Baja California Sur,008 Los Cabos,03_008,Población,351111,03008
03 Baja California Sur,009 Loreto,03_009,Población,18052,03009
04 Campeche,001 Calkiní,04_001,Población,59232,04001
04 Campeche,002 Campeche,04_002,Población,294077,04002
04 Campeche,003 Carmen,04_003,Población,248845,04003
04 Campeche,004 Champotón,04_004,Población,93467,04004
04 Campeche,005 Hecelchakán,04_005,Población,31917,04005
04 Campeche,006 Hopelchén,04_006,Población,42140,04006
04 Campeche,007 Palizada,04_007,Población,8683,04007
04 Campeche,008 Tenabo,04_008,Población,11452,04008
04 Campeche,009 Escárcega,04_009,Población,59923,04009
04 Campeche,010 Calakmul,04_010,Población,31714,04010
04 Campeche,011 Candelaria,04_011,Población,46913,04011
05 Coahuila de Zaragoza,001 Abasolo,05_001,Población,1022,05001
05 Coahuila de Zaragoza,002 Acuña,05_002,Población,163058,05002
05 Coahuila de Zaragoza,003 Allende,05_003,Población,23056,05003
05 Coahuila de Zaragoza,004 Arteaga,05_004,Población,29578,05004
05 Coahuila de Zaragoza,005 Candela,05_005,Población,1643,05005
05 Coahuila de Zaragoza,006 Castaños,05_006,Población,29128,05006
05 Coahuila de Zaragoza,007 Cuatro Ciénegas,05_007,Población,12715,05007
05 Coahuila de Zaragoza,008 Escobedo,05_008,Población,3047,05008
05 Coahuila de Zaragoza,009 Francisco I. Madero,05_009,Población,59035,05009
05 Coahuila de Zaragoza,010 Frontera,05_010,Población,82409,05010
05 Coahuila de Zaragoza,011 General Cepeda,05_011,Población,11898,05011
05 Coahuila de Zaragoza,012 Guerrero,05_012,Población,1643,05012
05 Coahuila de Zaragoza,013 Hidalgo,05_013,Población,1735,05013
05 Coahuila de Zaragoza,014 Jiménez,05_014,Población,9502,05014
05 Coahuila de Zaragoza,015 Juárez,05_015,Población,1584,05015
05 Coahuila de Zaragoza,016 Lamadrid,05_016,Población,1764,05016
05 Coahuila de Zaragoza,017 Matamoros,05_017,Población,118337,05017
05 Coahuila de Zaragoza,018 Monclova,05_018,Población,237951,05018
05 Coahuila de Zaragoza,019 Morelos,05_019,Población,7928,05019
05 Coahuila de Zaragoza,020 Múzquiz,05_020,Población,71627,05020
05 Coahuila de Zaragoza,021 Nadadores,05_021,Población,6539,05021
05 Coahuila de Zaragoza,022 Nava,05_022,Población,33129,05022
05 Coahuila de Zaragoza,023 Ocampo,05_023,Población,9642,05023
05 Coahuila de Zaragoza,024 Parras,05_024,Población,44472,05024
05 Coahuila de Zaragoza,025 Piedras Negras,05_025,Población,176327,05025
05 Coahuila de Zaragoza,026 Progreso,05_026,Población,3239,05026
05 Coahuila de Zaragoza,027 Ramos Arizpe,05_027,Población,122243,05027
05 Coahuila de Zaragoza,028 Sabinas,05_028,Población,64811,05028
05 Coahuila de Zaragoza,029 Sacramento,05_029,Población,2471,05029
05 Coahuila de Zaragoza,030 Saltillo,05_030,Población,879958,05030
05 Coahuila de Zaragoza,031 San Buenaventura,05_031,Población,24759,05031
05 Coahuila de Zaragoza,032 San Juan de Sabinas,05_032,Población,42260,05032
05 Coahuila de Zaragoza,033 San Pedro,05_033,Población,101041,05033
05 Coahuila de Zaragoza,034 Sierra Mojada,05_034,Población,6744,05034
05 Coahuila de Zaragoza,035 Torreón,05_035,Población,720848,05035
05 Coahuila de Zaragoza,036 Viesca,05_036,Población,20305,05036
05 Coahuila de Zaragoza,037 Villa Unión,05_037,Población,6188,05037
05 Coahuila de Zaragoza,038 Zaragoza,05_038,Población,13135,05038
06 Colima,001 Armería,06_001,Población,27626,06001
06 Colima,002 Colima,06_002,Población,157048,06002
06 Colima,003 Comala,06_003,Población,21661,06003
06 Colima,004 Coquimatlán,06_004,Población,20837,06004
06 Colima,005 Cuauhtémoc,06_005,Población,31267,06005
06 Colima,006 Ixtlahuacán,06_006,Población,5623,06006
